flow_id,flow_name,flow_folder,flow_status,trigger_type,action_id,action_type,message_id,message_name,channel,branch_path,email_number,subject,preview_text,template_id,html_filename
RcapEF,Subscription Post-purchase Flow,subscription-post-purchase-flow,live,Metric,89443320,SEND_EMAIL,WMCGr6,Copy of Email #1,Email,default,1,Welcome to Rho — Your Wellness Journey Begins,Here’s what to expect,YA4zVz,subscription-post-purchase-flow_email-1_welcome-to-rho-your-wellness-journey-begins_default.html
RcapEF,Subscription Post-purchase Flow,subscription-post-purchase-flow,live,Metric,89443327,SEND_EMAIL,T3wqHk,Copy of Copy of Email #1,Email,default,1,Your Liquid Vitamin Routine Starts Now,Simple tips for taking Rho—plus a refreshing wellness mocktail recipe,UPWidP,subscription-post-purchase-flow_email-1_your-liquid-vitamin-routine-starts-now_default.html
RcapEF,Subscription Post-purchase Flow,subscription-post-purchase-flow,live,Metric,89443378,SEND_EMAIL,XdXueL,Copy of Copy of Copy of Copy of Email #1,Email,default,1,Maximize Your Rho Subscription,"15% off, early access, and exclusive perks",RdEM6G,subscription-post-purchase-flow_email-1_maximize-your-rho-subscription_default.html
RcapEF,Subscription Post-purchase Flow,subscription-post-purchase-flow,live,Metric,89443380,SEND_EMAIL,SLcTyZ,Copy of Copy of Copy of Copy of Copy of Email #1,Email,default,1,Revitalization Looks Good on You,"90 days in, you’ve built the foundation for lasting health",UyCM5u,subscription-post-purchase-flow_email-1_revitalization-looks-good-on-you_default.html
